Step 8400/900000, Total Loss: 2.4185, Mel Loss: 0.7481, Mel PostNet Loss: 0.7481, Pitch Loss: 0.3949, Energy Loss: 0.4343, Duration Loss: 0.0930
Step 8500/900000, Total Loss: 3.6025, Mel Loss: 0.6990, Mel PostNet Loss: 0.6991, Pitch Loss: 1.5281, Energy Loss: 0.5773, Duration Loss: 0.0990
Step 8600/900000, Total Loss: 2.4085, Mel Loss: 0.7149, Mel PostNet Loss: 0.7150, Pitch Loss: 0.4946, Energy Loss: 0.3855, Duration Loss: 0.0985
Step 8700/900000, Total Loss: 2.4101, Mel Loss: 0.6916, Mel PostNet Loss: 0.6914, Pitch Loss: 0.4297, Energy Loss: 0.5026, Duration Loss: 0.0948
Step 8800/900000, Total Loss: 3.7290, Mel Loss: 0.7226, Mel PostNet Loss: 0.7227, Pitch Loss: 1.5980, Energy Loss: 0.5832, Duration Loss: 0.1026
Step 8900/900000, Total Loss: 2.6530, Mel Loss: 0.7235, Mel PostNet Loss: 0.7237, Pitch Loss: 0.7088, Energy Loss: 0.4044, Duration Loss: 0.0925
Step 9000/900000, Total Loss: 2.6977, Mel Loss: 0.6602, Mel PostNet Loss: 0.6604, Pitch Loss: 0.7089, Energy Loss: 0.5710, Duration Loss: 0.0973
Step 9100/900000, Total Loss: 2.1063, Mel Loss: 0.6827, Mel PostNet Loss: 0.6828, Pitch Loss: 0.3230, Energy Loss: 0.3230, Duration Loss: 0.0948
Step 9200/900000, Total Loss: 2.4095, Mel Loss: 0.7030, Mel PostNet Loss: 0.7030, Pitch Loss: 0.5160, Energy Loss: 0.3664, Duration Loss: 0.1211
Step 9300/900000, Total Loss: 3.2464, Mel Loss: 0.7377, Mel PostNet Loss: 0.7375, Pitch Loss: 1.1235, Energy Loss: 0.5461, Duration Loss: 0.1018
Step 9400/900000, Total Loss: 3.5498, Mel Loss: 0.6925, Mel PostNet Loss: 0.6924, Pitch Loss: 0.7341, Energy Loss: 1.3159, Duration Loss: 0.1149
Step 9500/900000, Total Loss: 2.4818, Mel Loss: 0.6965, Mel PostNet Loss: 0.6965, Pitch Loss: 0.5154, Energy Loss: 0.4790, Duration Loss: 0.0943
Step 9600/900000, Total Loss: 2.3528, Mel Loss: 0.7122, Mel PostNet Loss: 0.7121, Pitch Loss: 0.5282, Energy Loss: 0.2819, Duration Loss: 0.1182
Step 9700/900000, Total Loss: 4.1302, Mel Loss: 0.7379, Mel PostNet Loss: 0.7377, Pitch Loss: 2.0170, Energy Loss: 0.5220, Duration Loss: 0.1155
Step 9800/900000, Total Loss: 2.2651, Mel Loss: 0.6985, Mel PostNet Loss: 0.6985, Pitch Loss: 0.4284, Energy Loss: 0.3469, Duration Loss: 0.0929
Step 9900/900000, Total Loss: 2.5836, Mel Loss: 0.7132, Mel PostNet Loss: 0.7133, Pitch Loss: 0.4978, Energy Loss: 0.5619, Duration Loss: 0.0975
Step 10000/900000, Total Loss: 2.6242, Mel Loss: 0.7463, Mel PostNet Loss: 0.7463, Pitch Loss: 0.5464, Energy Loss: 0.4503, Duration Loss: 0.1349
Step 10100/900000, Total Loss: 2.1231, Mel Loss: 0.6474, Mel PostNet Loss: 0.6474, Pitch Loss: 0.4376, Energy Loss: 0.2831, Duration Loss: 0.1076
Step 10200/900000, Total Loss: 2.6553, Mel Loss: 0.6861, Mel PostNet Loss: 0.6860, Pitch Loss: 0.7493, Energy Loss: 0.4120, Duration Loss: 0.1218
Step 10300/900000, Total Loss: 2.2473, Mel Loss: 0.6606, Mel PostNet Loss: 0.6606, Pitch Loss: 0.5060, Energy Loss: 0.3132, Duration Loss: 0.1067
Step 10400/900000, Total Loss: 3.0075, Mel Loss: 0.7003, Mel PostNet Loss: 0.7001, Pitch Loss: 0.9360, Energy Loss: 0.5727, Duration Loss: 0.0984
Step 10500/900000, Total Loss: 2.9290, Mel Loss: 0.7018, Mel PostNet Loss: 0.7015, Pitch Loss: 0.9173, Energy Loss: 0.5135, Duration Loss: 0.0948
Step 10600/900000, Total Loss: 2.5577, Mel Loss: 0.6647, Mel PostNet Loss: 0.6645, Pitch Loss: 0.8058, Energy Loss: 0.3451, Duration Loss: 0.0776
Step 10700/900000, Total Loss: 2.3369, Mel Loss: 0.6816, Mel PostNet Loss: 0.6815, Pitch Loss: 0.4662, Energy Loss: 0.4219, Duration Loss: 0.0857
Step 10800/900000, Total Loss: 2.1009, Mel Loss: 0.6521, Mel PostNet Loss: 0.6520, Pitch Loss: 0.3341, Energy Loss: 0.3772, Duration Loss: 0.0855
Step 10900/900000, Total Loss: 2.1443, Mel Loss: 0.6771, Mel PostNet Loss: 0.6769, Pitch Loss: 0.4072, Energy Loss: 0.2777, Duration Loss: 0.1054
Step 11000/900000, Total Loss: 2.4149, Mel Loss: 0.7260, Mel PostNet Loss: 0.7259, Pitch Loss: 0.4575, Energy Loss: 0.3945, Duration Loss: 0.1110
Step 11100/900000, Total Loss: 3.0086, Mel Loss: 0.6911, Mel PostNet Loss: 0.6910, Pitch Loss: 0.8291, Energy Loss: 0.6913, Duration Loss: 0.1061
Step 11200/900000, Total Loss: 2.6933, Mel Loss: 0.7111, Mel PostNet Loss: 0.7110, Pitch Loss: 0.4848, Energy Loss: 0.6403, Duration Loss: 0.1460
Step 11300/900000, Total Loss: 2.4831, Mel Loss: 0.6493, Mel PostNet Loss: 0.6491, Pitch Loss: 0.6990, Energy Loss: 0.3668, Duration Loss: 0.1189
Step 11400/900000, Total Loss: 3.0157, Mel Loss: 0.6569, Mel PostNet Loss: 0.6566, Pitch Loss: 1.2387, Energy Loss: 0.3579, Duration Loss: 0.1056
Step 11500/900000, Total Loss: 2.5871, Mel Loss: 0.7119, Mel PostNet Loss: 0.7118, Pitch Loss: 0.4639, Energy Loss: 0.6001, Duration Loss: 0.0995
Step 11600/900000, Total Loss: 2.7217, Mel Loss: 0.6672, Mel PostNet Loss: 0.6669, Pitch Loss: 0.8823, Energy Loss: 0.3939, Duration Loss: 0.1114
Step 11700/900000, Total Loss: 3.0538, Mel Loss: 0.6944, Mel PostNet Loss: 0.6943, Pitch Loss: 1.1887, Energy Loss: 0.4066, Duration Loss: 0.0698
Step 11800/900000, Total Loss: 2.5901, Mel Loss: 0.7170, Mel PostNet Loss: 0.7171, Pitch Loss: 0.6971, Energy Loss: 0.3768, Duration Loss: 0.0821
Step 11900/900000, Total Loss: 7.2996, Mel Loss: 0.7444, Mel PostNet Loss: 0.7441, Pitch Loss: 5.2829, Energy Loss: 0.4198, Duration Loss: 0.1085
Step 12000/900000, Total Loss: 2.9371, Mel Loss: 0.7014, Mel PostNet Loss: 0.7013, Pitch Loss: 0.8709, Energy Loss: 0.5471, Duration Loss: 0.1164
Step 12100/900000, Total Loss: 2.6769, Mel Loss: 0.6966, Mel PostNet Loss: 0.6962, Pitch Loss: 0.8535, Energy Loss: 0.3200, Duration Loss: 0.1106
Step 12200/900000, Total Loss: 2.8293, Mel Loss: 0.6694, Mel PostNet Loss: 0.6693, Pitch Loss: 0.9962, Energy Loss: 0.4027, Duration Loss: 0.0916
Step 12300/900000, Total Loss: 2.0249, Mel Loss: 0.6497, Mel PostNet Loss: 0.6494, Pitch Loss: 0.2959, Energy Loss: 0.3093, Duration Loss: 0.1206
Step 12400/900000, Total Loss: 2.2913, Mel Loss: 0.6768, Mel PostNet Loss: 0.6767, Pitch Loss: 0.4756, Energy Loss: 0.3532, Duration Loss: 0.1089
Step 12500/900000, Total Loss: 2.1956, Mel Loss: 0.6828, Mel PostNet Loss: 0.6826, Pitch Loss: 0.3581, Energy Loss: 0.3667, Duration Loss: 0.1054
Step 12600/900000, Total Loss: 2.3614, Mel Loss: 0.6163, Mel PostNet Loss: 0.6162, Pitch Loss: 0.7128, Energy Loss: 0.2976, Duration Loss: 0.1184
Step 12700/900000, Total Loss: 2.4351, Mel Loss: 0.6731, Mel PostNet Loss: 0.6729, Pitch Loss: 0.5470, Energy Loss: 0.4494, Duration Loss: 0.0928
Step 12800/900000, Total Loss: 2.5145, Mel Loss: 0.6862, Mel PostNet Loss: 0.6860, Pitch Loss: 0.6169, Energy Loss: 0.4162, Duration Loss: 0.1092
Step 12900/900000, Total Loss: 2.2002, Mel Loss: 0.6511, Mel PostNet Loss: 0.6508, Pitch Loss: 0.4884, Energy Loss: 0.3235, Duration Loss: 0.0865
Step 13000/900000, Total Loss: 2.9719, Mel Loss: 0.6760, Mel PostNet Loss: 0.6756, Pitch Loss: 1.0798, Energy Loss: 0.4360, Duration Loss: 0.1046
Step 13100/900000, Total Loss: 2.5251, Mel Loss: 0.6557, Mel PostNet Loss: 0.6553, Pitch Loss: 0.7737, Energy Loss: 0.3478, Duration Loss: 0.0925
Step 13200/900000, Total Loss: 2.3554, Mel Loss: 0.7001, Mel PostNet Loss: 0.6998, Pitch Loss: 0.4822, Energy Loss: 0.3751, Duration Loss: 0.0982
Step 13300/900000, Total Loss: 2.4493, Mel Loss: 0.6887, Mel PostNet Loss: 0.6884, Pitch Loss: 0.6506, Energy Loss: 0.3517, Duration Loss: 0.0700
Step 13400/900000, Total Loss: 2.7738, Mel Loss: 0.6614, Mel PostNet Loss: 0.6615, Pitch Loss: 1.0624, Energy Loss: 0.3134, Duration Loss: 0.0752
Step 13500/900000, Total Loss: 3.0292, Mel Loss: 0.6877, Mel PostNet Loss: 0.6875, Pitch Loss: 1.1377, Energy Loss: 0.4060, Duration Loss: 0.1103
Step 13600/900000, Total Loss: 2.2359, Mel Loss: 0.6801, Mel PostNet Loss: 0.6798, Pitch Loss: 0.4900, Energy Loss: 0.2884, Duration Loss: 0.0976
Step 13700/900000, Total Loss: 2.2185, Mel Loss: 0.6496, Mel PostNet Loss: 0.6492, Pitch Loss: 0.3991, Energy Loss: 0.4341, Duration Loss: 0.0866
Step 13800/900000, Total Loss: 3.5685, Mel Loss: 0.6294, Mel PostNet Loss: 0.6290, Pitch Loss: 1.7800, Energy Loss: 0.4439, Duration Loss: 0.0862
Step 13900/900000, Total Loss: 2.6285, Mel Loss: 0.6999, Mel PostNet Loss: 0.6995, Pitch Loss: 0.5932, Energy Loss: 0.5570, Duration Loss: 0.0790
Step 14000/900000, Total Loss: 2.6211, Mel Loss: 0.6854, Mel PostNet Loss: 0.6850, Pitch Loss: 0.6076, Energy Loss: 0.5524, Duration Loss: 0.0908
Step 14100/900000, Total Loss: 2.8540, Mel Loss: 0.7166, Mel PostNet Loss: 0.7163, Pitch Loss: 0.8371, Energy Loss: 0.4852, Duration Loss: 0.0989
Step 14200/900000, Total Loss: 2.4121, Mel Loss: 0.6817, Mel PostNet Loss: 0.6817, Pitch Loss: 0.6029, Energy Loss: 0.3660, Duration Loss: 0.0798
Step 14300/900000, Total Loss: 2.1843, Mel Loss: 0.6401, Mel PostNet Loss: 0.6398, Pitch Loss: 0.3905, Energy Loss: 0.4262, Duration Loss: 0.0876
Step 14400/900000, Total Loss: 2.2450, Mel Loss: 0.6503, Mel PostNet Loss: 0.6499, Pitch Loss: 0.3012, Energy Loss: 0.5464, Duration Loss: 0.0972
Step 14500/900000, Total Loss: 2.5262, Mel Loss: 0.6577, Mel PostNet Loss: 0.6577, Pitch Loss: 0.7503, Energy Loss: 0.3882, Duration Loss: 0.0723
Step 14600/900000, Total Loss: 2.3341, Mel Loss: 0.6213, Mel PostNet Loss: 0.6210, Pitch Loss: 0.5846, Energy Loss: 0.4104, Duration Loss: 0.0968
Step 14700/900000, Total Loss: 2.6997, Mel Loss: 0.6710, Mel PostNet Loss: 0.6708, Pitch Loss: 0.7629, Energy Loss: 0.5036, Duration Loss: 0.0913
Step 14800/900000, Total Loss: 2.5080, Mel Loss: 0.6611, Mel PostNet Loss: 0.6612, Pitch Loss: 0.7531, Energy Loss: 0.3482, Duration Loss: 0.0844
Step 14900/900000, Total Loss: 2.3456, Mel Loss: 0.6804, Mel PostNet Loss: 0.6798, Pitch Loss: 0.6014, Energy Loss: 0.2989, Duration Loss: 0.0851
Step 15000/900000, Total Loss: 2.4331, Mel Loss: 0.6643, Mel PostNet Loss: 0.6639, Pitch Loss: 0.6510, Energy Loss: 0.3653, Duration Loss: 0.0886
Step 15100/900000, Total Loss: 2.4363, Mel Loss: 0.6606, Mel PostNet Loss: 0.6603, Pitch Loss: 0.6766, Energy Loss: 0.3692, Duration Loss: 0.0696
Step 15200/900000, Total Loss: 2.1116, Mel Loss: 0.6474, Mel PostNet Loss: 0.6473, Pitch Loss: 0.3234, Energy Loss: 0.4223, Duration Loss: 0.0712
Step 15300/900000, Total Loss: 2.4516, Mel Loss: 0.6664, Mel PostNet Loss: 0.6661, Pitch Loss: 0.6587, Energy Loss: 0.3626, Duration Loss: 0.0978
